"","V1"
"1",2
"2",3
"3",2
"5",2
"6",3
"7",1
"8",1
"9",3
"10",3
"11",2
"12",3
"13",2
"14",1
"15",3
"16",1
"17",3
"18",3
"20",2
"21",2
"22",3
"23",2
"25",2
"26",1
"28",2
"29",1
"30",1
"31",3
"32",1
"33",1
"34",1
"35",1
"36",1
"37",2
"38",3
"39",2
"40",3
"41",1
"42",1
"43",1
"44",3
"45",3
"46",3
"48",2
"49",2
"50",3
"51",1
"53",3
"56",2
"57",3
"58",2
"60",1
"61",3
"62",3
"63",2
"64",3
"66",1
"67",1
"68",3
"69",3
"72",1
"73",2
"74",3
"75",1
"76",3
"77",3
"78",1
"79",3
"82",1
"83",1
"85",1
"87",1
"90",2
"93",3
"94",2
"95",3
"96",1
"97",1
"98",1
"100",1
"101",1
"102",3
"103",3
"104",3
"105",1
"106",2
"107",1
"108",3
"109",3
"110",1
"111",1
"112",2
"113",1
"114",2
"115",3
"116",3
"117",2
"118",1
"120",2
"121",2
"123",3
"124",3
"125",1
"126",1
"127",1
"128",2
"129",1
"130",1
"131",3
"132",2
"133",2
"134",2
"135",1
"136",1
"137",1
"138",1
"139",3
"140",1
"141",1
"142",1
"143",1
"144",2
"145",3
"146",3
"147",2
"148",2
"149",3
"150",1
"152",3
"153",3
"154",1
"156",2
"157",3
"158",2
"160",1
"162",2
"163",1
"164",3
"165",2
"166",2
"167",2
"168",1
"169",1
"170",3
"172",1
"174",3
"175",1
"176",3
"177",1
"178",3
"179",2
"181",3
"182",2
"183",3
"184",1
"185",3
"186",2
"187",3
"188",1
"189",2
"190",3
"192",2
"194",1
"195",1
"196",2
"197",2
"198",2
"200",2
"201",3
"202",1
"203",1
"204",3
"205",3
"206",2
"207",3
"208",3
"209",1
"210",1
"211",1
"212",1
"213",3
"215",2
"217",2
"218",2
"219",3
"220",2
"221",2
"222",1
"223",3
"224",2
"225",1
"226",3
"227",1
"228",1
"229",1
"231",2
"232",3
"233",1
"234",3
"235",2
"236",2
"237",2
"238",2
"239",1
"240",3
"241",2
"242",3
"244",3
"245",1
"246",3
"248",2
"250",2
"251",2
"252",3
"253",2
"254",1
"255",1
"256",3
"257",2
"260",3
"261",3
"262",1
"263",1
"264",3
"266",2
"267",2
"268",3
"269",2
"270",2
"271",2
"272",1
"273",1
"274",3
"275",3
"276",1
"277",3
"278",2
"279",2
"280",3
"281",1
"283",1
"284",3
"285",2
"286",1
"287",1
"288",2
"289",2
"290",3
"291",1
"292",2
"293",1
"294",3
"295",2
"296",1
"297",2
"298",1
"299",1
"300",2
"301",3
"302",1
"303",2
"304",1
"305",2
"306",3
"307",1
"308",2
"309",1
"310",1
"311",3
"314",1
"315",1
"318",1
"319",1
"320",2
"321",3
"322",1
"324",2
"325",1
"326",1
"327",2
"328",2
"329",3
"330",1
"331",2
"332",3
"333",2
"334",1
"335",1
"336",2
"337",3
"338",2
"339",1
"340",2
"342",1
"343",1
"344",1
"346",2
"347",2
"348",1
"349",2
"350",1
"351",1
"352",3
"353",1
"354",1
"355",1
"356",2
"357",2
"358",2
"359",3
"360",1
"361",1
"362",3
"364",3
"365",1
"366",3
"367",2
"368",2
"369",1
"370",2
"371",3
"372",1
"373",1
"374",2
"375",1
"376",2
"377",2
"378",1
"380",1
"381",1
"382",3
"383",1
"384",1
"385",3
"386",3
"388",3
"389",1
"390",2
"391",2
"392",1
"393",2
"395",1
"396",2
"397",2
"398",2
"399",2
"400",1
"402",2
"403",2
"404",1
"405",1
"406",1
"407",1
"408",3
"409",3
"410",2
"411",1
"412",1
"413",3
"414",2
"415",2
"416",1
"417",3
"419",3
"420",3
"421",1
"422",2
"424",3
"425",1
"428",1
"429",3
"430",3
"431",1
"432",1
"433",3
"434",2
"435",2
"436",2
"438",1
"439",1
"440",2
"441",3
"443",1
"445",1
"446",1
"447",2
"449",3
"452",1
"453",3
"454",1
"455",1
"456",1
"457",1
"458",3
"459",3
"460",3
"461",3
"462",1
"463",1
"464",3
"465",3
"466",2
"467",2
"468",2
"469",2
"470",3
"471",3
"472",1
"474",2
"475",2
"476",1
"477",2
"478",2
"479",2
"480",2
"481",2
"482",1
"483",3
"484",2
"485",1
"486",1
"487",3
"488",1
"489",2
"490",2
"491",1
"492",2
"494",1
"495",3
"496",1
"497",3
"498",1
"499",1
"500",1
"502",2
"503",1
"504",2
"505",1
"506",3
"507",3
"508",1
"509",2
"510",3
"511",1
"512",1
"513",2
"514",2
"515",3
"517",3
"518",2
"521",3
"522",2
"523",2
"524",1
"525",1
"528",3
"529",2
"530",3
"532",2
"534",2
"535",1
"536",1
"537",2
"538",3
"540",3
"541",2
"542",3
"543",1
"544",2
"545",2
"546",3
"547",1
"548",3
"550",2
"551",2
"552",2
"553",2
"554",3
"555",2
"556",3
"557",3
"561",3
"564",2
"565",1
"566",2
"569",2
"570",2
"571",1
"572",1
"574",1
"575",2
"576",2
"577",1
"578",2
"579",1
"580",3
"581",3
"582",2
"585",1
"586",1
"587",3
"589",3
"590",1
"591",2
"593",1
"594",2
"595",1
"597",2
"598",1
"599",3
"600",1
"601",1
"603",2
"604",2
"605",3
"606",3
"608",2
"609",1
"610",1
"611",2
"614",2
"615",2
"616",1
"617",2
"618",1
"619",2
"620",1
"621",1
"622",3
"623",2
"624",2
"625",3
"626",2
"627",3
"629",1
"630",1
"631",2
"632",3
"633",2
"634",1
"635",2
"636",2
"637",1
"639",3
"640",2
"641",1
"642",1
"643",1
"644",2
"645",1
"646",3
"647",2
"648",2
"651",3
"652",2
"653",2
"654",1
"655",3
"657",3
"658",2
"659",2
"660",1
"661",2
"662",1
"664",2
"665",2
"666",2
"667",1
"668",2
"669",3
"670",3
"671",2
"672",1
"673",2
"675",3
"676",1
"677",1
"678",1
"680",2
"681",2
"683",1
"684",3
"685",1
"686",2
"687",1
"688",1
"689",2
"690",2
"692",3
"695",3
"696",2
"698",2
"699",1
"700",3
"701",3
"702",1
"703",2
"705",1
"706",3
"708",3
"709",2
"710",2
"711",2
"712",1
"713",3
"715",2
"716",2
"717",3
"718",3
"719",3
"721",1
"724",1
"725",1
"726",3
"730",3
"731",2
"732",2
"733",3
"734",1
"736",2
"737",2
"738",1
"739",2
"741",2
"742",1
"743",1
"744",1
"745",2
"746",2
"747",1
"748",1
"749",3
"750",1
"751",3
"752",3
"753",1
"754",2
"756",2
"757",2
"758",2
"759",1
"761",1
"762",3
"764",2
"766",3
"767",2
"768",1
"769",2
"770",3
"771",3
"772",1
"773",2
"774",3
"775",3
"776",3
"778",2
"779",3
"781",2
"782",1
"783",3
"784",3
"785",1
"786",1
"788",1
"789",2
"790",2
"791",3
"792",3
"793",2
"794",1
"796",3
"797",2
"798",1
"800",3
"801",3
"802",1
"805",3
"806",3
"807",3
"808",3
"809",2
"811",1
"812",3
"813",2
"814",3
"815",1
"816",2
"817",3
"818",3
"819",2
"821",1
"822",1
"823",2
"824",3
"825",2
"826",1
"827",1
"829",2
"830",3
"831",2
"833",3
"834",2
"835",2
"836",2
"837",2
"838",3
"839",3
"840",2
"841",3
"842",2
"843",1
"844",1
"845",2
"846",1
"847",2
"848",3
"850",3
"851",2
"852",1
"853",1
"854",3
"855",1
"856",2
"857",2
"858",1
"859",2
"860",3
"862",2
"863",1
"864",2
"865",1
"866",3
"867",3
"868",2
"869",2
"870",2
"871",2
"872",1
"873",3
"874",3
"875",2
"876",1
"878",2
"879",3
"881",2
"882",1
"883",2
"884",2
"885",1
"886",1
"887",2
"889",1
"890",3
"891",2
"892",3
"893",1
"895",2
"896",2
"897",1
