"","Topic 1","Topic 2","Topic 3"
"1","room","space","home"
"2","bedroom","downtown","apartment"
"3","house","seattle","room"
"4","bed","will","seattle"
"5","bathroom","full","kitchen"
"6","seattle","one","bed"
"7","quiet","kitchen","downtown"
"8","neighborhood","neighborhood","located"
"9","access","private","private"
"10","area","bedroom","away"
"11","will","walk","large"
"12","place","beautiful","great"
"13","new","two","minutes"
"14","coffee","living","restaurants"
"15","street","house","access"
"16","bus","hill","can"
"17","available","blocks","queen"
"18","walking","bus","walk"
"19","city","apartment","two"
"20","parking","close","also"
"21","located","cozy","floor"
"22","living","location","enjoy"
"23","can","queen","living"
"24","just","home","parking"
"25","capitol","floor","center"
"26","within","restaurants","hill"
"27","bath","comfortable","stay"
"28","shops","guests","dining"
"29","restaurants","bathroom","well"
"30","away","just","guests"
"31","queen","stay","studio"
"32","bars","also","one"
"33","home","city","free"
"34","size","access","bus"
"35","need","lake","everything"
"36","private","walking","space"
"37","welcome","building","park"
"38","guests","available","just"
"39","wifi","located","capitol"
"40","like","people","unit"
"41","floor","great","full"
"42","shared","large","distance"
"43","get","right","blocks"
"44","free","views","comfortable"
"45","great","park","street"
"46","laundry","market","lake"
"47","perfect","spacious","light"
"48","kitchen","guest","yard"
"49","bedrooms","easy","area"
"50","deck","modern","seattles"
"51","separate","unit","easy"
"52","best","light","wifi"
"53","clean","deck","small"
"54","distance","anne","block"
"55","amenities","includes","fully"
"56","heart","door","building"
"57","lake","help","bathroom"
"58","easy","use","take"
"59","block","basement","live"
"60","market","lots","available"
"61","space","may","bedrooms"
"62","fully","view","guest"
"63","enjoy","dryer","close"
"64","happy","studio","washer"
"65","views","heart","shared"
"66","view","main","entrance"
"67","seattles","needle","shower"
"68","right","steps","use"
"69","please","enjoy","house"
"70","use","place","main"
"71","master","need","clean"
"72","one","come","place"
"73","floors","can","coffee"
"74","university","patio","location"
"75","patio","condo","plenty"
"76","light","couch","minute"
"77","pike","bath","remodeled"
"78","backyard","front","garden"
"79","day","top","ballard"
"80","open","center","neighborhoods"
"81","provided","town","back"
"82","tub","min","modern"
"83","entrance","bed","view"
"84","minutes","next","grocery"
"85","near","family","microwave"
"86","union","ballard","gas"
"87","closet","parking","please"
"88","district","everything","rail"
"89","washington","rooftop","size"
"90","modern","love","youll"
"91","two","distance","views"
"92","many","many","drive"
"93","small","new","basement"
"94","spacious","feel","bars"
"95","including","around","washington"
"96","downtown","quiet","bath"
"97","park","please","share"
"98","shopping","good","open"
"99","etc","internet","heart"
"100","make","lower","features"
